video_id,target_code,target_label,source_dataset,title,reported_duration_seconds,annotation_seconds,local_filename,source_reference,source_excerpt,expected_sha256,access_status
1,MVMA,neutral,public_web,How Computer Chips Work,136,135,REFED_video_clip/Emotion-1.mp4,https://www.bilibili.com/video/BV1gM411e74r,,b2040678e2d58dfc067733a61488875bd6faed1fb2d1ac61eb5e82c5300e8db2,provided_via_refed_corresponding_author_link_2026-08-13
2,LVLA,sad,SCEFD,Changjiang Qihao,139,137,REFED_video_clip/Emotion-2.mp4,https://doi.org/10.1080/02699931.2018.1530197,,681630b692e6cd11498b7cc6c57b64f4465877b461a924b62b8dec0709844582,provided_via_refed_corresponding_author_link_2026-08-13
3,LVHA,fear,SCEFD,Inner Senses,92,90,REFED_video_clip/Emotion-3.mp4,https://doi.org/10.1080/02699931.2018.1530197,01:25:29-01:27:01,5f048924fead8f9b2073f04d1267c94b5708f030e1791967d219021fe74e3122,provided_via_refed_corresponding_author_link_2026-08-13
4,HVHA,happy,CPED,King of Destruction,81,79,REFED_video_clip/Emotion-4.mp4,https://doi.org/10.1109/TAFFC.2021.3088523,,6574c3553134011d4225028a1aa3953d1470cecb1f98c797ebeab5f744916b68,provided_via_refed_corresponding_author_link_2026-08-13
5,HVLA,relax,CPED,7 Strangest Places in the World,137,135,REFED_video_clip/Emotion-5.mp4,https://doi.org/10.1109/TAFFC.2021.3088523,,24628e4948a1a206018583bfb72f6b95b5152c0bf2fd83725ee1892fc9b10198,provided_via_refed_corresponding_author_link_2026-08-13
6,LVLA,sad,PED,Gangs of New York,95,93,REFED_video_clip/Emotion-6.mp4,https://doi.org/10.3389/fnhum.2019.00120,,fdb8335b60f444cf214aa8c789cf1128bf345717dee21b2c4d24cbba4bd9abd3,provided_via_refed_corresponding_author_link_2026-08-13
7,HVHA,happy,CPED,Iron Fist of Shame,124,122,REFED_video_clip/Emotion-7.mp4,https://doi.org/10.1109/TAFFC.2021.3088523,,3323452ca8a04ddd68b5f38cc395b150608d746b8dc062938bb1c2c5e7d0b334,provided_via_refed_corresponding_author_link_2026-08-13
8,HVLA,relax,CPED,Food those tantalizing moments,109,107,REFED_video_clip/Emotion-8.mp4,https://doi.org/10.1109/TAFFC.2021.3088523,,8915e445419471eeab56a1686b23be6c60650e9bbe67a3276b58e52e69c3b809,provided_via_refed_corresponding_author_link_2026-08-13
9,LVHA,fear,PED,The Pianist,72,70,REFED_video_clip/Emotion-9.mp4,https://doi.org/10.3389/fnhum.2019.00120,,f82bf9eddbc6f75b77fbd6bf26a5834c55cf5855fa381564a5b856df5925ff53,provided_via_refed_corresponding_author_link_2026-08-13
10,MVMA,neutral,SCEFD,Raise the Red Lantern,62,60,REFED_video_clip/Emotion-10.mp4,https://doi.org/10.1080/02699931.2018.1530197,00:07:00-00:08:02,f8538cccc8a6ca00bc043a9409e00a92ceb58532c311ca8261871960f032e6cb,provided_via_refed_corresponding_author_link_2026-08-13
11,LVHA,fear,SCEFD,The Chrysalis,63,61,REFED_video_clip/Emotion-11.mp4,https://doi.org/10.1080/02699931.2018.1530197,00:33:30-00:34:38,6236c4b442b5ca74e9df3e5adb6cfa96b1b2fe1d3f43c948fd29aa5bf8842673,provided_via_refed_corresponding_author_link_2026-08-13
12,MVMA,neutral,SCEFD,"Black Coal, Thin Ice",65,63,REFED_video_clip/Emotion-12.mp4,https://doi.org/10.1080/02699931.2018.1530197,00:22:00-00:23:05,acf2238f4cf4da56d96b5c9a6522f56b7d26eb6bae0af2fb0110caba84817f70,provided_via_refed_corresponding_author_link_2026-08-13
13,LVLA,sad,SCEFD,Bodyguards and Assassins,113,111,REFED_video_clip/Emotion-13.mp4,https://doi.org/10.1080/02699931.2018.1530197,02:08:44-02:10:38,fc52e919164c8ba2c5a996bafebdb12946fadf188173427782082be767354e4e,provided_via_refed_corresponding_author_link_2026-08-13
14,HVLA,relax,CPED,Epic Landscape Clips,105,103,REFED_video_clip/Emotion-14.mp4,https://doi.org/10.1109/TAFFC.2021.3088523,,115e5632ceb9b205ce5dc27f58ff0eba21da3ec4dfe2586d832c9b9122bc27e3,provided_via_refed_corresponding_author_link_2026-08-13
15,HVHA,happy,CPED,The Chinatown Detective,172,170,REFED_video_clip/Emotion-15.mp4,https://doi.org/10.1109/TAFFC.2021.3088523,,4a898671733e19c4e206933c1ff06494e3e779f2a0c9a8770209caa4b974865b,provided_via_refed_corresponding_author_link_2026-08-13
