panel,analysis,route,budget,direction,threshold,participants,count,proportion,repeat,method,participant_macro_mae_seconds,gain_vs_video_mean_seconds,gain_vs_video_mean_ci95_low,gain_vs_video_mean_ci95_high,partition_sha256
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.0,24,18,0.75,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.0,24,6,0.25,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.005,24,16,0.6666666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.005,24,4,0.16666666666666666,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.01,24,14,0.5833333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.01,24,3,0.125,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.015,24,11,0.4583333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.015,24,1,0.041666666666666664,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.02,24,10,0.4166666666666667,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.02,24,1,0.041666666666666664,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.025,24,10,0.4166666666666667,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.025,24,1,0.041666666666666664,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.03,24,10,0.4166666666666667,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.03,24,1,0.041666666666666664,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.035,24,8,0.3333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.035,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.04,24,5,0.20833333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.04,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.045,24,5,0.20833333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.045,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.05,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.05,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.055,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.055,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.06,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.06,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.065,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.065,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.07,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.07,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.075,24,1,0.041666666666666664,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.075,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.08,24,1,0.041666666666666664,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.08,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.085,24,1,0.041666666666666664,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.085,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.09,24,1,0.041666666666666664,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.09,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.095,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.095,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.1,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.1,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.105,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.105,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.11,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.11,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.115,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.115,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.12,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.12,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.125,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.125,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.13,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.13,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.135,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.135,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.14,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.14,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.145,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,1,exceeds_degradation_threshold,0.145,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,1,meets_gain_threshold,0.15,24,0,0.0,,,,,,,
