example,percentile,time_seconds,axis,target,metadata,content,residual,sam
A,25,0,valence,128.0,131.0,128.60000610351562,128.60000610351562,129.11392211914062
A,25,0,arousal,128.0,128.0,128.0,128.0,132.69236755371094
A,25,1,valence,128.0,134.45372009277344,129.29074096679688,129.29074096679688,129.52059936523438
A,25,1,arousal,128.0,128.0,128.0,128.0,132.7733612060547
A,25,2,valence,159.0,137.0049591064453,129.80384826660156,129.80384826660156,130.17233276367188
A,25,2,arousal,128.0,128.42974853515625,128.0,128.0,132.87884521484375
A,25,3,valence,171.0,139.05029296875,130.2489776611328,130.2489776611328,131.0680694580078
A,25,3,arousal,128.0,129.4541473388672,128.0,128.0,133.12969970703125
A,25,4,valence,174.0,141.66116333007812,130.91343688964844,130.91343688964844,132.20664978027344
A,25,4,arousal,152.0,131.05165100097656,128.0,128.0,133.50338745117188
A,25,5,valence,195.0,144.7001190185547,131.76113891601562,131.76113891601562,133.59976196289062
A,25,5,arousal,195.0,132.74703979492188,128.0,128.0,133.9879150390625
A,25,6,valence,195.0,149.3217315673828,132.7301025390625,132.7301025390625,135.21453857421875
A,25,6,arousal,213.0,135.06788635253906,128.00001525878906,128.00001525878906,134.460205078125
A,25,7,valence,195.0,153.79132080078125,133.63319396972656,133.63319396972656,137.05770874023438
A,25,7,arousal,213.0,137.38873291015625,128.00001525878906,128.00001525878906,135.03509521484375
A,25,8,valence,195.0,158.40435791015625,139.6930389404297,139.6930389404297,139.14352416992188
A,25,8,arousal,213.0,140.1094970703125,128.00001525878906,128.00001525878906,135.78518676757812
A,25,9,valence,195.0,163.1245574951172,156.95162963867188,156.95162963867188,141.52731323242188
A,25,9,arousal,213.0,142.80874633789062,128.00001525878906,128.00001525878906,136.68710327148438
A,25,10,valence,195.0,167.8199462890625,158.57176208496094,158.57176208496094,144.23129272460938
A,25,10,arousal,213.0,144.966064453125,128.00003051757812,128.00003051757812,137.94346618652344
A,25,11,valence,195.0,171.34414672851562,164.01905822753906,164.01905822753906,147.29470825195312
A,25,11,arousal,213.0,147.4383087158203,128.09092712402344,128.09092712402344,139.46231079101562
A,25,12,valence,195.0,173.76092529296875,164.51516723632812,164.51516723632812,150.6317901611328
A,25,12,arousal,213.0,150.12869262695312,128.25001525878906,128.25001525878906,141.25418090820312
A,25,13,valence,195.0,176.1189422607422,166.180908203125,166.180908203125,153.9521484375
A,25,13,arousal,213.0,152.80609130859375,131.00001525878906,131.00001525878906,143.42605590820312
A,25,14,valence,195.0,178.55490112304688,166.56492614746094,166.56492614746094,157.1236572265625
A,25,14,arousal,213.0,155.163818359375,131.88845825195312,131.88845825195312,145.9015350341797
A,25,15,valence,195.0,180.36807250976562,167.9674072265625,167.9674072265625,160.1072998046875
A,25,15,arousal,213.0,157.31051635742188,135.0888671875,135.0888671875,148.71685791015625
A,25,16,valence,195.0,181.84918212890625,171.87867736816406,171.87867736816406,162.8961181640625
A,25,16,arousal,213.0,159.3243865966797,143.50001525878906,143.50001525878906,152.15069580078125
A,25,17,valence,195.0,182.97991943359375,172.6925048828125,172.6925048828125,165.49884033203125
A,25,17,arousal,213.0,161.64108276367188,144.057861328125,144.057861328125,155.87281799316406
A,25,18,valence,195.0,183.954833984375,172.50181579589844,172.50181579589844,167.92974853515625
A,25,18,arousal,213.0,164.1428680419922,144.89462280273438,144.89462280273438,159.86952209472656
A,25,19,valence,195.0,185.00619506835938,176.37783813476562,176.37783813476562,170.21368408203125
A,25,19,arousal,213.0,166.4474639892578,154.4028778076172,154.4028778076172,164.04458618164062
A,25,20,valence,195.0,185.90554809570312,176.65231323242188,176.65231323242188,172.26812744140625
A,25,20,arousal,213.0,168.41793823242188,155.91734313964844,155.91734313964844,168.19027709960938
A,25,21,valence,195.0,186.82940673828125,176.83761596679688,176.83761596679688,174.0911407470703
A,25,21,arousal,213.0,170.70159912109375,155.99998474121094,155.99998474121094,172.10189819335938
A,25,22,valence,195.0,187.51296997070312,179.2306671142578,179.2306671142578,175.70895385742188
A,25,22,arousal,213.0,172.53570556640625,158.25001525878906,158.25001525878906,175.63702392578125
A,25,23,valence,195.0,188.3594970703125,179.3461151123047,179.3461151123047,177.03793334960938
A,25,23,arousal,213.0,173.45748901367188,158.25001525878906,158.25001525878906,178.5997772216797
A,25,24,valence,195.0,189.93801879882812,179.72117614746094,179.72117614746094,178.26084899902344
A,25,24,arousal,220.0,174.24880981445312,156.00001525878906,156.00001525878906,181.2472686767578
A,25,25,valence,195.0,191.30813598632812,181.16134643554688,181.16134643554688,179.47940063476562
A,25,25,arousal,223.0,174.94717407226562,158.70872497558594,158.70872497558594,183.596923828125
A,25,26,valence,195.0,192.47903442382812,184.41641235351562,184.41641235351562,180.70217895507812
A,25,26,arousal,223.0,176.0129852294922,162.65704345703125,162.65704345703125,185.63925170898438
A,25,27,valence,195.0,193.57850646972656,184.63690185546875,184.63690185546875,181.8593292236328
A,25,27,arousal,223.0,177.189208984375,163.00003051757812,163.00003051757812,187.3170166015625
A,25,28,valence,195.0,194.4456787109375,184.83261108398438,184.83261108398438,182.97216796875
A,25,28,arousal,223.0,178.25177001953125,163.75003051757812,163.75003051757812,188.4984893798828
A,25,29,valence,195.0,195.05990600585938,184.37770080566406,184.37770080566406,184.01519775390625
A,25,29,arousal,223.0,180.11422729492188,164.25416564941406,164.25416564941406,189.38365173339844
