absolute_phi,absolute_phi_15,absolute_phi_15_ci95_high,absolute_phi_15_ci95_low,absolute_phi_15_gate_status,analysis,bootstrap_negative_participant_draws,bootstrap_negative_participant_fraction,bootstrap_negative_video_draws,bootstrap_negative_video_fraction,budget_videos,calibrated_mae_units,ci95_high,ci95_low,comparison,delta_q,delta_q_high,delta_q_low,estimand,estimate,expected_annotation_minutes,geometry_adjusted_participant_variance,geometry_adjusted_relative_g_15,geometry_adjusted_relative_g_15_ci95_high,geometry_adjusted_relative_g_15_ci95_low,geometry_bootstrap_draws,geometry_profile_spearman_raw_vs_adjusted,geometry_variance_retained_ci95_high,geometry_variance_retained_ci95_low,geometry_variance_retained_fraction,label,metric,objective,oracle_gap_units,panel,participant_variance_seconds_squared,participants_degraded,participants_improved,path_ratio,profile_rho,profile_spearman_vs_consensus,raw_participant_variance_seconds_squared,raw_video_variance_seconds_squared,relative_g,relative_g_15,relative_g_15_ci95_high,relative_g_15_ci95_low,relative_g_15_gate_status,relative_gain_percent,residual_variance_seconds_squared,trial_mae_vs_consensus_seconds,video_only_mae_units,video_variance_seconds_squared,worst_participant_gain_units
,0.7137292575276355,0.8768228349685119,0.5714120318580252,PARTIAL,,0,0.0,99,0.0198,,,,,,,,,consensus,,,0.0568762456194825,0.4651893763414902,0.8541024674553737,0.20582144860621815,1000,0.7260869565217389,1.7785497954723297,0.08179179858916373,0.30923924924823326,,,,,A,0.18392311376304843,,,,,0.9999999999999999,0.18392311376304843,0.2371285718173645,,0.7603756447833127,0.8993141996431395,0.6486266889119248,PARTIAL,,0.8694214073126072,0.0,,0.2371285718173645,
,0.8151568951717444,0.919093107281543,0.6726362095544527,PARTIAL,,0,0.0,67,0.0134,,,,,,,,,axis_mean,,,0.09718499026343971,0.5743837121583376,0.8636906477778235,0.23327199718306404,1000,0.6765217391304347,1.308190034965652,0.06582707031869127,0.2520982616734028,,,,,A,0.38550440458548013,,,,,0.9652173913043477,0.38550440458548013,0.3495928023278141,,0.8574113306455496,0.9352084611039515,0.7603692826258371,PASS,,0.9616485947078132,0.3230736576812667,,0.3495928023278141,
,0.7012192147366688,0.8820002594069728,0.44786721230660353,PARTIAL,,1,0.0002,4,0.0008,,,,,,,,,multivariate,,,0.21958551848215374,0.6012060553674463,0.8744224566780971,0.0821307508050488,1000,0.7713043478260868,1.9390662332724813,0.038039513754457945,0.5930130020732689,,,,,A,0.3702878650458715,,,,,0.8895652173913042,0.3702878650458715,0.507375217217739,,0.7492097672617374,0.9104147310030206,0.5177793590061565,PARTIAL,,1.8592505846743614,0.9195981813064776,,0.507375217217739,
,0.7323696867600422,0.8942939697548942,0.5277758577820479,PARTIAL,,0,0.0,41,0.0082,,,,,,,,,valence_only,,,0.08404318268669003,0.42422081338267187,0.842180084629126,0.12549052889400214,1000,0.7104347826086955,1.1558979608393087,0.040956157460559854,0.2088243440604086,,,,,A,0.4024587414117679,,,,,0.9243478260869564,0.4024587414117679,0.6522059873233752,,0.795295847093677,0.9176059383984284,0.6526226204288567,PARTIAL,,1.5538552610611742,0.8193229172591515,,0.6522059873233752,
,0.7230290837620663,0.8892729644018061,0.5238504453424349,PARTIAL,,1,0.0002,52,0.0104,,,,,,,,,arousal_only,,,0.10892497771509194,0.43805300403631287,0.8656102483791748,0.0,1000,0.617391304347826,1.7564361104733504,0.0,0.2979676215857018,,,,,A,0.36555977839277687,,,,,0.946086956521739,0.36555977839277687,0.21333544118960523,,0.7439565517251876,0.90306770719043,0.5586404555973231,PARTIAL,,1.8871905757106182,0.788462697756612,,0.21333544118960523,
0.7474272217710286,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,Direct step,,direct_step,,B,,,,1.153671675561001,0.9999999999999999,,,,0.7973608870316131,,,,,,,,,,
0.7530501361560731,,,,,,,,,,,,,,,0.03359391540188269,0.07698721001715533,-0.002996604972453891,,,,,,,,,,,,,Mixed normalization,,mixed_step_mean,,B,,,,1.1661337809848558,0.9617391304347825,,,,0.8048027342522359,,,,,,,,,,
0.4225356161473487,,,,,,,,,,,,,,,0.7834270652728514,0.9887035197157913,0.5702277088179681,,,,,,,,,,,,,Path mean,,path_mean,,B,,,,1.8722107736307814,0.497391304347826,,,,0.5183419930710451,,,,,,,,,,
0.7527613823981395,,,,,,,,,,,,,,,0.0334094891723745,0.0750519902119063,-0.0014395515534410953,,,,,,,,,,,,,$\lambda_s=0$,,step_zero,,B,,,,1.1661683134681586,0.9617391304347825,,,,0.8045757229768061,,,,,,,,,,
,,,,,Original,,,,,,,0.8993141996431395,0.6486266889119248,,,,,,0.7603756447833127,,,,,,,,,,,,descriptive_shared_reference_relative_fraction,,,C,,,,,,,,,,,,,,,,,,,
,,,,,Original,,,,,,,0.8768228349685119,0.5714120318580252,,,,,,0.7137292575276355,,,,,,,,,,,,descriptive_shared_reference_absolute_fraction,,,C,,,,,,,,,,,,,,,,,,,
,,,,,Identity-excluding,,,,,,,0.9017696794858512,0.5745996204318325,,,,,,0.7603756447833127,,,,,,,,,,,,descriptive_shared_reference_relative_fraction,,,C,,,,,,,,,,,,,,,,,,,
,,,,,Identity-excluding,,,,,,,0.8847101293994817,0.4854992887128204,,,,,,0.7137292575276355,,,,,,,,,,,,descriptive_shared_reference_absolute_fraction,,,C,,,,,,,,,,,,,,,,,,,
,,,,,"Category facet
+ identity-excluding",,,,,,,0.8480317743067399,0.16514397490048446,,,,,,0.7455133948670681,,,,,,,,,,,,descriptive_shared_reference_relative_fraction,,,C,,,,,,,,,,,,,,,,,,,
,,,,,"Category facet
+ identity-excluding",,,,,,,0.8390809677210547,0.1507032472118609,,,,,,0.7153732904511009,,,,,,,,,,,,descriptive_shared_reference_absolute_fraction,,,C,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,30.14554316119659,0.03250240081379191,0.00995188568229641,calibrated_vs_video,,,,,0.020870244975613222,1.7066666666666668,,,,,,,,,,,,,0.2425983239799311,D,,6,18,,,,,,,,,,,0.0691837133390974,,,30.1664134061722,,-0.03109389483005387
,,,,,,,,,,2,30.101356354724818,0.047135267253588714,0.010634342578835655,calibrated_vs_video,,,,,0.028197080444684275,3.4133333333333336,,,,,,,,,,,,,0.23486799696541696,D,,7,17,,,,,,,,,,,0.09358612136537843,,,30.129553435169502,,-0.052872146274520304
,,,,,,,,,,4,30.098329539726326,0.07313988265095793,0.018476668903987796,calibrated_vs_video,,,,,0.045321399200649815,6.826666666666667,,,,,,,,,,,,,0.2207863943358054,D,,7,17,,,,,,,,,,,0.15035139337459144,,,30.14365093892697,,-0.07356499959243834
,,,,,,,,,,8,30.140650559047177,0.09802305302511548,0.02767704934595911,calibrated_vs_video,,,,,0.06283543892602372,13.653333333333334,,,,,,,,,,,,,0.20374970532534023,D,,7,17,,,,,,,,,,,0.20804035312427271,,,30.203485997973207,,-0.07320406755397002
